00DS30
00DSES
00DSEX
00DSMEX
1JANATAMF
1STPRIMFMF
AAMRANET
AAMRATECH
ABB1STMF
ABBANK
ABBLPBOND
ACFL
ACHIASF
ACIFORMULA
ACI
ACMELAB
ACMEPL
ACTIVEFINE
ADNTEL
ADVENT
AFCAGRO
AFTABAUTO
AGNISYSL
AGRANINS
AIBL1STIMF
AIL
AL-HAJTEX
ALARABANK
ALIF
ALLTEX
AMANFEED
AMBEEPHA
AMCL(PRAN)
AMPL
ANLIMAYARN
ANWARGALV
AOL
AOPLC
APEXFOODS
APEXFOOT
APEXSPINN
APEXTANRY
APEXWEAV
APOLOISPAT
APSCLBOND
ARAMITCEM
ARAMIT
ARGONDENIM
ASIAINS
ASIAPACINS
ATCSLGF
ATLASBANG
AZIZPIPES
BANGAS
BANKASI1PB
BANKASIA
BARKAPOWER
BATASHOE
BATBC
BAYLEASING
BBSCABLES
BBS
BDAUTOCA
BDCOM
BDFINANCE
BDLAMPS
BDPAINTS
BDTHAIFOOD
BDTHAI
BDWELDING
BEACHHATCH
BEACONPHAR
BENGALBISC
BENGALWTL
BERGERPBL
BESTHLDNG
BEXGSUKUK
BEXIMCO
BGIC
BIFC
BNICL
BPML
BPPL
BRACBANK
BSCCL
BSC
BSRMLTD
BSRMSTEEL
BXPHARMA
BXSYNTH
CAPITECGBF
CAPMBDBLMF
CAPMIBBLMF
CBLPBOND
CENTRALINS
CENTRALPHL
CITYBANK
CITYGENINS
CLICL
CNATEX
CONFIDCEM
CONTININS
COPPERTECH
CROWNCEMNT
CRYSTALINS
CVOPRL
DACCADYE
DAFODILCOM
DBH1STMF
DBH
DBLPBOND
DELTALIFE
DELTASPINN
DESCO
DESHBANDHU
DGIC
DHAKABANK
DHAKAINS
DOMINAGE
DOREENPWR
DSHGARME
DSSL
DULAMIACOT
DUTCHBANGL
EASTERNINS
EASTLAND
EASTRNLUB
EBL1STMF
EBLNRBMF
EBL
ECABLES
EGEN
EHL
EIL
EMERALDOIL
ENVOYTEX
EPGL
ESQUIRENIT
ETL
EXIM1STMF
EXIMBANK
FAMILYTEX
FARCHEM
FAREASTFIN
FAREASTLIF
FASFIN
FBFIF
FEDERALINS
FEKDIL
FINEFOODS
FIRSTFIN
FIRSTSBANK
FORTUNE
FUWANGCER
FUWANGFOOD
GBBPOWER
GEMINISEA
GENEXIL
GENNEXT
GHAIL
GHCL
GIB
GLDNJMF
GLOBALINS
GOLDENSON
GPHISPAT
GP
GQBALLPEN
GRAMEENS2
GREENDELMF
GREENDELT
GSPFINANCE
HAKKANIPUL
HEIDELBCEM
HFL
HIMADRI
HRTEX
HWAWELLTEX
IBNSINA
IBP
ICB3RDNRB
ICBAGRANI1
ICBAMCL2ND
ICBEPMF1S1
ICBIBANK
ICBSONALI1
ICB
ICICL
IDLC
IFADAUTOS
IFIC1STMF
IFIC
IFILISLMF1
ILFSL
IMAMBUTTON
INDEXAGRO
INTECH
INTRACO
IPDC
ISLAMIBANK
ISLAMICFIN
ISLAMIINS
ISNLTD
ITC
JAMUNABANK
JAMUNAOIL
JANATAINS
JHRML
JMISMDL
JUTESPINN
KARNAPHULI
KAY&QUE
KBPPWBIL
KBSEED
KDSALTD
KEYACOSMET
KFL
KOHINOOR
KPCL
KPPL
KTL
LANKABAFIN
LEGACYFOOT
LHBL
LIBRAINFU
LINDEBD
LOVELLO
LRBDL
LRGLOBMF1
MAKSONSPIN
MALEKSPIN
MAMUNAGRO
MARICO
MASTERAGRO
MATINSPINN
MBL1STMF
MEGCONMILK
MEGHNACEM
MEGHNAINS
MEGHNALIFE
MEGHNAPET
MERCANBANK
MERCINS
METROSPIN
MHSML
MIDASFIN
MIDLANDBNK
MIRACLEIND
MIRAKHTER
MITHUNKNIT
MJLBD
MKFOOTWEAR
MLDYEING
MONNOAGML
MONNOCERA
MONNOFABR
MONOSPOOL
MOSTFAMETL
MPETROLEUM
MTB
NAHEEACP
NATLIFEINS
NAVANACNG
NAVANAPHAR
NBL
NCCBANK
NCCBLMF1
NEWLINE
NFML
NHFIL
NIALCO
NITOLINS
NORTHERN
NORTHRNINS
NPOLYMER
NRBCBANK
NTC
NTLTUBES
NURANI
OAL
OIMEX
OLYMPIC
ONEBANKPLC
ORIONINFU
ORIONPHARM
ORYZAAGRO
PADMALIFE
PADMAOIL
PAPERPROC
PARAMOUNT
PDL
PENINSULA
PEOPLESINS
PF1STMF
PHARMAID
PHENIXINS
PHOENIXFIN
PHPMF1
PIONEERINS
POPULAR1MF
POPULARLIF
POWERGRID
PRAGATIINS
PRAGATILIF
PREMIERBAN
PREMIERCEM
PREMIERLEA
PRIME1ICBA
PRIMEBANK
PRIMEFIN
PRIMEINSUR
PRIMELIFE
PRIMETEX
PROGRESLIF
PROVATIINS
PTL
PUBALIBANK
PURABIGEN
QUASEMIND
QUEENSOUTH
RAHIMAFOOD
RAHIMTEXT
RAKCERAMIC
RANFOUNDRY
RDFOOD
RECKITTBEN
REGENTTEX
RELIANCE1
RELIANCINS
RENATA
RENWICKJA
REPUBLIC
RINGSHINE
RNSPIN
ROBI
RSRMSTEEL
RUNNERAUTO
RUPALIBANK
RUPALIINS
RUPALILIFE
SADHESIVE
SAFKOSPINN
SAIFPOWER
SAIHAMCOT
SAIHAMTEX
SALAMCRST
SALVOCHEM
SAMATALETH
SAMORITA
SANDHANINS
SAPORTL
SAVAREFR
SBACBANK
SEAPEARL
SEMLFBSLGF
SEMLIBBLSF
SEMLLECMF
SHAHJABANK
SHASHADNIM
SHEPHERD
SHURWID
SHYAMPSUG
SIBL
SICL
SILCOPHL
SILVAPHL
SIMTEX
SINGERBD
SINOBANGLA
SKICL
SKTRIMS
SONALIANSH
SONALILIFE
SONALIPAPR
SONARBAINS
SONARGAON
SOUTHEASTB
SPCERAMICS
SPCL
SQUARETEXT
SQURPHARMA
SSSTEEL
STANCERAM
STANDARINS
STANDBANKL
STYLECRAFT
SUMITPOWER
SUNLIFEINS
TAKAFULINS
TALLUSPIN
TAMIJTEX
TILIL
TITASGAS
TOSRIFA
TRUSTB1MF
TRUSTBANK
TUNGHAI
UCB
UNILEVERCL
UNIONBANK
UNIONCAP
UNIONINS
UNIQUEHRL
UNITEDFIN
UNITEDINS
UPGDCL
USMANIAGL
UTTARABANK
UTTARAFIN
VAMLBDMF1
VAMLRBBF
VFSTDL
WALTONHIL
WATACHEM
WMSHIPYARD
WONDERTOYS
YPL
YUSUFLOUR
ZAHEENSPIN
ZAHINTEX
ZEALBANGLA
